query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(badge )(comment (date t< first))(post_link (date t!= 0046)),"[4, 6, 3, 4, 3, 2]",300000.0,0.0,768.4319,44.5697,299231.5681,390.405471,5,"300000.00,300000.00,300000.00,300000.00,300000.00","825.38,749.97,805.77,737.39,723.66","error,error,error,error,complete","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score = last))(post_link )(site (site_name ""sports""))(so_user (downvotes != mode))(tag )(tag_question )","[3, 6, 9, 3, 9, 2]",300000.0,0.0,924.1162,15.7649,299075.8838,324.634506,5,"300000.00,300000.00,300000.00,300000.00,300000.00","910.61,937.66,903.79,936.43,932.09","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score = last))(post_link )(site (site_name ""sports""))(so_user (downvotes > mode))(tag )(tag_question )","[3, 6, 9, 3, 8, 9]",300000.0,0.0,927.6405,5.4362,299072.3595,323.40115,5,"300000.00,300000.00,300000.00,300000.00,300000.00","921.48,926.80,935.10,930.86,923.97","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score = last))(post_link )(site (site_name ""law""))(so_user (downvotes != mode))(tag )(tag_question )","[3, 6, 9, 3, 9, 2]",300000.0,0.0,928.1296,14.9414,299071.8704,323.230712,5,"300000.00,300000.00,300000.00,300000.00,300000.00","937.54,911.41,913.88,945.59,932.24","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score = last))(post_link )(site (site_name ""italian""))(so_user (downvotes > mode))(tag )(tag_question )","[3, 6, 9, 3, 2, 1, 9, 2]",300000.0,0.0,931.4516,31.8822,299068.5484,322.077924,5,"300000.00,300000.00,300000.00,300000.00,300000.00","905.13,959.00,972.11,904.04,916.98","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score = last))(post_link )(site (site_name ""languagelearning""))(so_user (downvotes != mode))(tag )(tag_question )","[8, 6, 8, 3, 9, 8]",300000.0,0.0,944.6829,14.4516,299055.3171,317.566884,5,"300000.00,300000.00,300000.00,300000.00,300000.00","938.93,935.95,969.59,944.55,934.40","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score < mode))(post_link )(site (site_name ""drupal""))(so_user (last_access_date t!= last)(downvotes > median))(tag )(tag_question )","[3, 6, 9, 3, 9, 2]",300000.0,0.0,946.2565,17.1772,299053.7435,317.038759,5,"300000.00,300000.00,300000.00,300000.00,300000.00","967.34,949.07,919.36,947.68,947.83","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score = last))(post_link )(site (site_name ""law""))(so_user (last_access_date t!= last)(downvotes > mode))(tag )(tag_question )","[3, 6, 9, 3, 9, 2]",300000.0,0.0,950.2575,4.914,299049.7425,315.703904,5,"300000.00,300000.00,300000.00,300000.00,300000.00","945.59,951.36,950.65,946.00,957.69","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score < mode))(post_link )(site (site_name ""english""))(tag )(tag_question )","[3, 6, 9, 3, 9, 2]",300000.0,0.0,1019.1383,5.4,298980.8617,294.366318,5,"300000.00,300000.00,300000.00,300000.00,300000.00","1016.86,1018.28,1015.77,1016.14,1028.64","error,error,error,error,complete","complete,complete,complete,complete,complete",True,False
"(answer (creation_date t> first))(badge )(comment (score < mode))(post_link )(site (site_name ""drupal""))(tag )(tag_question )","[3, 6, 9, 3, 9, 2]",300000.0,0.0,1020.0799,9.6055,298979.9201,294.094624,5,"300000.00,300000.00,300000.00,300000.00,300000.00","1005.83,1025.79,1031.33,1020.00,1017.45","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
